Method,nSNP_Brain,Min_F_Brain,Beta_Brain,SE_Brain,P_Brain,OR_Brain,Gene
Wald ratio,1,31.321870280715085,-0.2372277290566916,0.12142093960583525,0.05072926177964354,0.7888116322330492,GPR137B
Wald ratio,1,21.118356309181298,-0.0743683338169476,0.2234924424279195,0.7393188705077447,0.9283296956402214,CAD
Wald ratio,1,36.08632127610555,-0.12666072927828262,0.12326899616389048,0.30417807678310016,0.8810325304398912,PPP1CB
Wald ratio,1,48.57803096478344,0.15600816550998572,0.08074350375697148,0.053341598530077805,1.1688357471908681,FEZ2
Wald ratio,1,131.40483760895162,0.21884363718885663,0.10115484990733464,0.030506450879705715,1.2446366465865606,FOXN2
Wald ratio,1,20.533194323877723,-0.0869638644066663,0.07343897614425478,0.23634775810976993,0.9167102209023954,C2orf42
Wald ratio,1,19.723828840479026,0.05728327994078795,0.08527255623167279,0.5017321099930063,1.0589557488320491,CLEC4F
Wald ratio,1,24.108869201939005,-0.17621467058598655,0.1299445681429553,0.17507508509221514,0.8384379760449989,FAM178B
Wald ratio,1,27.734090175235185,0.0744091193967653,0.09959475910315431,0.4549918378303155,1.0772474381764594,CCDC93
Wald ratio,1,31.512920485813588,-0.06722469989109073,0.10658404164917426,0.5282235389717056,0.9349850866841415,PTPN18
Wald ratio,1,20.344806736108456,-0.12903996664395173,0.34256624830786014,0.7064068448679952,0.8789388366080569,DNAJC10
Wald ratio,1,41.778430011990054,-0.06642731932282088,0.12078125796571752,0.5823328468374749,0.9357309229420372,SLC40A1
Wald ratio,1,29.037645074013536,0.43004648151145847,0.16253998720409468,0.008150067813495143,1.5373289792621487,ICA1L
Wald ratio,1,24.68442195982895,0.16811383859701085,0.09177015069051056,0.06696615892807145,1.1830712821571823,METTL21A
Wald ratio,1,149.95539987851274,0.053539198897416075,0.03684480847379105,0.14619593302734435,1.0549983457289995,GPR55
Wald ratio,1,25.157427903204542,-0.27572609142790616,0.22560524687431951,0.22164648531887354,0.7590208045955055,RPSA
Wald ratio,1,58.50328439040478,-0.09119391813552108,0.08159267358410262,0.26370673135599576,0.912840677372631,WDR6
Wald ratio,1,19.291456056416315,0.054578648531042516,0.09190634606476608,0.5526119710543846,1.0560955335098738,BSN
Wald ratio,1,22.32263232551049,-0.10669323785899876,0.13708246702683607,0.436383775250619,0.8988013489308057,DCP1A
Wald ratio,1,19.529652307544147,-0.2522815408237198,0.2157355927876656,0.24224187775879402,0.7770259427465113,SUCLG2
Wald ratio,1,19.235857003347157,0.03612692049769029,0.12403367461664834,0.7708470981378004,1.0367874277168947,C3orf38
Wald ratio,1,27.70683725862074,-0.10984525896857866,0.12200189251621163,0.36793029186267656,0.8959727683204384,NAA50
IVW,2,17.999896132357843,0.03640474310470837,0.04153499371681885,0.3807671582379948,1.037075510719119,FAM86JP
Wald ratio,1,21.428877785858216,-0.15862697854435154,0.20377423348812634,0.43630687677698,0.8533146042650886,PIK3CB
Wald ratio,1,56.89554860301813,-0.13179216180975906,0.07034097293630012,0.06098299963150633,0.8765231511346613,HLTF
Wald ratio,1,22.35194667998965,0.1198718339268999,0.1458539881582081,0.41115550667279566,1.1273523539955177,P2RY1
Wald ratio,1,31.03650787406558,-0.04423332080967993,0.042129244103160594,0.29374414691629225,0.956730706246454,PLD1
Wald ratio,1,19.853228190224222,-0.09087716734630508,0.17986245884496485,0.6133767745945278,0.9131298661755901,MAGEF1
Wald ratio,1,20.908090990078517,0.00431758547574874,0.09272230320699708,0.9628601733171038,1.0043269196768212,FAM193A
Wald ratio,1,190.7583922411012,0.06440202426897298,0.03898443647362989,0.0985359354593649,1.0665210799431206,GUF1
IVW,2,18.531220457662627,-0.09145538641939657,0.09391698145484217,0.3301609829811849,0.9126020296880265,RCHY1
Wald ratio,1,197.51729110336376,-0.09182110108170884,0.05220426100851486,0.07859766351393493,0.9122683387664642,THAP9-AS1
Wald ratio,1,20.012246976586013,-0.020208399661803867,0.0768112152922002,0.7924798363705929,0.9799944215184786,C4orf36
Wald ratio,1,35.80939234282371,0.09927778775758599,0.09777177359929319,0.30991359044552835,1.1043730382626185,PKD2
Wald ratio,1,18.388142023436444,-0.04825757120593655,0.40453702193715463,0.9050449206239604,0.9528883188726762,SGMS2
Wald ratio,1,28.880164440042762,-0.11584360538830885,0.15601058254338065,0.4577621381375194,0.8906144997149975,TRIO
Wald ratio,1,57.28481811006455,0.14685449265900946,0.06531838160456803,0.02455787128903153,1.158185426286733,GFM2
Wald ratio,1,124.97389509018824,-0.04937838843946972,0.03374345248829173,0.1433723845326882,0.9518209035237538,ATG10
Wald ratio,1,30.510730469449484,0.11847549624516127,0.09391411390934683,0.20711786587672476,1.1257792879443302,FBXO38
Wald ratio,1,44.62040056783672,0.056857153200407066,0.05641770812802433,0.31355570356894824,1.0585045956016463,TIGD6
IVW,2,18.67729944646845,0.025772922750516465,0.12936552986125982,0.8420862903406465,1.0261079162529896,FLOT1
Wald ratio,1,73.07571619123782,0.14304068205351622,0.056511806718592454,0.01136845001775133,1.1537767387182865,C4A
Wald ratio,1,22.85301225224939,-0.02948465305746057,0.07120736765504812,0.6788247110625585,0.9709457785759248,CYP21A2
Wald ratio,1,30.881192311783412,-0.05003340104896422,0.09443213078137899,0.5962266809837624,0.9511976529707342,ATF6B
Wald ratio,1,48.48826569771799,-0.0448260749590144,0.10374795071988573,0.6656926542476698,0.9561637681945718,MAPK13
Wald ratio,1,68.78163818358146,-0.23300917746751926,0.09751997310861306,0.016878294756384138,0.7921463035939825,DNPH1
